Biosample Index	Biosample	Biosample summary	Assay	Accession_x	Download URL
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_U2AF2_plus_strand_signal_of_all_reads	ENCFF691UAH	/files/ENCFF691UAH/@@download/ENCFF691UAH.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RPS2_plus_strand_signal_of_all_reads	ENCFF788COO	/files/ENCFF788COO/@@download/ENCFF788COO.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_HNRNPU_minus_strand_signal_of_all_reads	ENCFF083FVL	/files/ENCFF083FVL/@@download/ENCFF083FVL.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DDX5_minus_strand_signal_of_all_reads	ENCFF657SDV	/files/ENCFF657SDV/@@download/ENCFF657SDV.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_UPF1_plus_strand_signal_of_all_reads	ENCFF188WNE	/files/ENCFF188WNE/@@download/ENCFF188WNE.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PABPC1_plus_strand_signal_of_all_reads	ENCFF412UMN	/files/ENCFF412UMN/@@download/ENCFF412UMN.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SRSF1_plus_strand_signal_of_all_reads	ENCFF395AYJ	/files/ENCFF395AYJ/@@download/ENCFF395AYJ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DDX21_plus_strand_signal_of_all_reads	ENCFF359XJR	/files/ENCFF359XJR/@@download/ENCFF359XJR.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_G3BP1_plus_strand_signal_of_all_reads	ENCFF996EXS	/files/ENCFF996EXS/@@download/ENCFF996EXS.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_FXR1_minus_strand_signal_of_all_reads	ENCFF947NDF	/files/ENCFF947NDF/@@download/ENCFF947NDF.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SRP68_minus_strand_signal_of_all_reads	ENCFF885KXE	/files/ENCFF885KXE/@@download/ENCFF885KXE.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_TAF15_minus_strand_signal_of_all_reads	ENCFF647FRM	/files/ENCFF647FRM/@@download/ENCFF647FRM.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_NSUN2_plus_strand_signal_of_all_reads	ENCFF533YYG	/files/ENCFF533YYG/@@download/ENCFF533YYG.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PUF60_minus_strand_signal_of_all_reads	ENCFF167MEC	/files/ENCFF167MEC/@@download/ENCFF167MEC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PPIL4_plus_strand_signal_of_all_reads	ENCFF898CDM	/files/ENCFF898CDM/@@download/ENCFF898CDM.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_QKI_plus_strand_signal_of_all_reads	ENCFF764EWQ	/files/ENCFF764EWQ/@@download/ENCFF764EWQ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RAVER1_minus_strand_signal_of_all_reads	ENCFF743KAS	/files/ENCFF743KAS/@@download/ENCFF743KAS.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DDX6_plus_strand_signal_of_all_reads	ENCFF388PFU	/files/ENCFF388PFU/@@download/ENCFF388PFU.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RPS3A_plus_strand_signal_of_all_reads	ENCFF002JNG	/files/ENCFF002JNG/@@download/ENCFF002JNG.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_ILF3_plus_strand_signal_of_all_reads	ENCFF399ALB	/files/ENCFF399ALB/@@download/ENCFF399ALB.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_FUBP3_minus_strand_signal_of_all_reads	ENCFF901WRD	/files/ENCFF901WRD/@@download/ENCFF901WRD.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_XRCC6_minus_strand_signal_of_all_reads	ENCFF035MHC	/files/ENCFF035MHC/@@download/ENCFF035MHC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DDX27_minus_strand_signal_of_all_reads	ENCFF632QIX	/files/ENCFF632QIX/@@download/ENCFF632QIX.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DDX47_plus_strand_signal_of_all_reads	ENCFF513LQC	/files/ENCFF513LQC/@@download/ENCFF513LQC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_UTP3_plus_strand_signal_of_all_reads	ENCFF560PGO	/files/ENCFF560PGO/@@download/ENCFF560PGO.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_AKAP1_minus_strand_signal_of_all_reads	ENCFF926TXW	/files/ENCFF926TXW/@@download/ENCFF926TXW.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_UCHL5_plus_strand_signal_of_all_reads	ENCFF252BQU	/files/ENCFF252BQU/@@download/ENCFF252BQU.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_HNRNPA0_plus_strand_signal_of_all_reads	ENCFF803PGZ	/files/ENCFF803PGZ/@@download/ENCFF803PGZ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PUM2_minus_strand_signal_of_all_reads	ENCFF146TRC	/files/ENCFF146TRC/@@download/ENCFF146TRC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SRSF1_minus_strand_signal_of_all_reads	ENCFF275GBZ	/files/ENCFF275GBZ/@@download/ENCFF275GBZ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_HNRNPK_plus_strand_signal_of_all_reads	ENCFF502AMN	/files/ENCFF502AMN/@@download/ENCFF502AMN.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SAFB2_minus_strand_signal_of_all_reads	ENCFF576FRM	/files/ENCFF576FRM/@@download/ENCFF576FRM.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_ABCF1_minus_strand_signal_of_all_reads	ENCFF402GYQ	/files/ENCFF402GYQ/@@download/ENCFF402GYQ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_FMR1_minus_strand_signal_of_all_reads	ENCFF323LWK	/files/ENCFF323LWK/@@download/ENCFF323LWK.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_TIA1_minus_strand_signal_of_all_reads	ENCFF667IMC	/files/ENCFF667IMC/@@download/ENCFF667IMC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_NELFE_minus_strand_signal_of_all_reads	ENCFF253BBR	/files/ENCFF253BBR/@@download/ENCFF253BBR.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SSRP1_plus_strand_signal_of_all_reads	ENCFF353ORB	/files/ENCFF353ORB/@@download/ENCFF353ORB.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SF1_minus_strand_signal_of_all_reads	ENCFF497PAR	/files/ENCFF497PAR/@@download/ENCFF497PAR.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_ILF3_minus_strand_signal_of_all_reads	ENCFF480MHS	/files/ENCFF480MHS/@@download/ENCFF480MHS.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_AARS_minus_strand_signal_of_all_reads	ENCFF970LJX	/files/ENCFF970LJX/@@download/ENCFF970LJX.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SMN1_plus_strand_signal_of_all_reads	ENCFF821DXT	/files/ENCFF821DXT/@@download/ENCFF821DXT.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RBM34_plus_strand_signal_of_all_reads	ENCFF845EJQ	/files/ENCFF845EJQ/@@download/ENCFF845EJQ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_MARK2_minus_strand_signal_of_all_reads	ENCFF560JUY	/files/ENCFF560JUY/@@download/ENCFF560JUY.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SSRP1_minus_strand_signal_of_all_reads	ENCFF328LUG	/files/ENCFF328LUG/@@download/ENCFF328LUG.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RRP9_plus_strand_signal_of_all_reads	ENCFF877AOX	/files/ENCFF877AOX/@@download/ENCFF877AOX.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DDX55_minus_strand_signal_of_all_reads	ENCFF788OVB	/files/ENCFF788OVB/@@download/ENCFF788OVB.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_CCAR2_plus_strand_signal_of_all_reads	ENCFF749DLX	/files/ENCFF749DLX/@@download/ENCFF749DLX.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_UBE2L3_minus_strand_signal_of_all_reads	ENCFF601FLT	/files/ENCFF601FLT/@@download/ENCFF601FLT.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_ACO1_minus_strand_signal_of_all_reads	ENCFF082FJC	/files/ENCFF082FJC/@@download/ENCFF082FJC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_CSTF2T_plus_strand_signal_of_all_reads	ENCFF433JRZ	/files/ENCFF433JRZ/@@download/ENCFF433JRZ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SBDS_plus_strand_signal_of_all_reads	ENCFF106VIX	/files/ENCFF106VIX/@@download/ENCFF106VIX.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_U2AF1_minus_strand_signal_of_all_reads	ENCFF092FSN	/files/ENCFF092FSN/@@download/ENCFF092FSN.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_MAGOH_plus_strand_signal_of_all_reads	ENCFF140BSS	/files/ENCFF140BSS/@@download/ENCFF140BSS.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DDX59_plus_strand_signal_of_all_reads	ENCFF709UNF	/files/ENCFF709UNF/@@download/ENCFF709UNF.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PKM_minus_strand_signal_of_all_reads	ENCFF750WPJ	/files/ENCFF750WPJ/@@download/ENCFF750WPJ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_NIP7_minus_strand_signal_of_all_reads	ENCFF498BZC	/files/ENCFF498BZC/@@download/ENCFF498BZC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_BCCIP_minus_strand_signal_of_all_reads	ENCFF995OIL	/files/ENCFF995OIL/@@download/ENCFF995OIL.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_STAU1_plus_strand_signal_of_all_reads	ENCFF030RRF	/files/ENCFF030RRF/@@download/ENCFF030RRF.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_EEF2_plus_strand_signal_of_all_reads	ENCFF617APB	/files/ENCFF617APB/@@download/ENCFF617APB.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_HSPD1_plus_strand_signal_of_all_reads	ENCFF895GCS	/files/ENCFF895GCS/@@download/ENCFF895GCS.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_STIP1_plus_strand_signal_of_all_reads	ENCFF530XXR	/files/ENCFF530XXR/@@download/ENCFF530XXR.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PES1_minus_strand_signal_of_all_reads	ENCFF801LBC	/files/ENCFF801LBC/@@download/ENCFF801LBC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DDX19B_plus_strand_signal_of_all_reads	ENCFF874JFI	/files/ENCFF874JFI/@@download/ENCFF874JFI.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_HNRNPC_minus_strand_signal_of_all_reads	ENCFF857UFD	/files/ENCFF857UFD/@@download/ENCFF857UFD.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PES1_plus_strand_signal_of_all_reads	ENCFF984MHR	/files/ENCFF984MHR/@@download/ENCFF984MHR.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_KHDRBS1_minus_strand_signal_of_all_reads	ENCFF669BGF	/files/ENCFF669BGF/@@download/ENCFF669BGF.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_U2AF2_minus_strand_signal_of_all_reads	ENCFF211KJD	/files/ENCFF211KJD/@@download/ENCFF211KJD.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_U2AF1_plus_strand_signal_of_all_reads	ENCFF859QSJ	/files/ENCFF859QSJ/@@download/ENCFF859QSJ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SART3_plus_strand_signal_of_all_reads	ENCFF924HHG	/files/ENCFF924HHG/@@download/ENCFF924HHG.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_Non-specific_target_control_minus_strand_signal_of_all_reads	ENCFF356DCX	/files/ENCFF356DCX/@@download/ENCFF356DCX.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_EIF3G_plus_strand_signal_of_all_reads	ENCFF433UFF	/files/ENCFF433UFF/@@download/ENCFF433UFF.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_HNRNPD_plus_strand_signal_of_all_reads	ENCFF503FBA	/files/ENCFF503FBA/@@download/ENCFF503FBA.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_GEMIN5_plus_strand_signal_of_all_reads	ENCFF553VXP	/files/ENCFF553VXP/@@download/ENCFF553VXP.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_TUFM_plus_strand_signal_of_all_reads	ENCFF426LQZ	/files/ENCFF426LQZ/@@download/ENCFF426LQZ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RBFOX2_plus_strand_signal_of_all_reads	ENCFF590ZNK	/files/ENCFF590ZNK/@@download/ENCFF590ZNK.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PRPF4_minus_strand_signal_of_all_reads	ENCFF659VJM	/files/ENCFF659VJM/@@download/ENCFF659VJM.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SF3B1_minus_strand_signal_of_all_reads	ENCFF122UAN	/files/ENCFF122UAN/@@download/ENCFF122UAN.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PNPT1_minus_strand_signal_of_all_reads	ENCFF902KBI	/files/ENCFF902KBI/@@download/ENCFF902KBI.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_NKRF_minus_strand_signal_of_all_reads	ENCFF800QFY	/files/ENCFF800QFY/@@download/ENCFF800QFY.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_FKBP4_plus_strand_signal_of_all_reads	ENCFF193SLO	/files/ENCFF193SLO/@@download/ENCFF193SLO.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_GNB2L1_plus_strand_signal_of_all_reads	ENCFF082QXA	/files/ENCFF082QXA/@@download/ENCFF082QXA.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PHF6_minus_strand_signal_of_all_reads	ENCFF175PGN	/files/ENCFF175PGN/@@download/ENCFF175PGN.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_GRSF1_minus_strand_signal_of_all_reads	ENCFF592SOH	/files/ENCFF592SOH/@@download/ENCFF592SOH.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_TRA2A_plus_strand_signal_of_all_reads	ENCFF599SBB	/files/ENCFF599SBB/@@download/ENCFF599SBB.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_FAM120A_plus_strand_signal_of_all_reads	ENCFF804LLI	/files/ENCFF804LLI/@@download/ENCFF804LLI.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_FIP1L1_minus_strand_signal_of_all_reads	ENCFF371SEP	/files/ENCFF371SEP/@@download/ENCFF371SEP.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SNRNP70_plus_strand_signal_of_all_reads	ENCFF199LKM	/files/ENCFF199LKM/@@download/ENCFF199LKM.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_AARS_plus_strand_signal_of_all_reads	ENCFF261UIZ	/files/ENCFF261UIZ/@@download/ENCFF261UIZ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_KRR1_plus_strand_signal_of_all_reads	ENCFF238SRC	/files/ENCFF238SRC/@@download/ENCFF238SRC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_HNRNPF_plus_strand_signal_of_all_reads	ENCFF599RZH	/files/ENCFF599RZH/@@download/ENCFF599RZH.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_ZNF622_minus_strand_signal_of_all_reads	ENCFF343JFZ	/files/ENCFF343JFZ/@@download/ENCFF343JFZ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RPS19_plus_strand_signal_of_all_reads	ENCFF648TQV	/files/ENCFF648TQV/@@download/ENCFF648TQV.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SBDS_minus_strand_signal_of_all_reads	ENCFF083EBZ	/files/ENCFF083EBZ/@@download/ENCFF083EBZ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_HNRNPC_plus_strand_signal_of_all_reads	ENCFF334YIN	/files/ENCFF334YIN/@@download/ENCFF334YIN.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_ZC3H8_minus_strand_signal_of_all_reads	ENCFF973CHT	/files/ENCFF973CHT/@@download/ENCFF973CHT.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_TIAL1_minus_strand_signal_of_all_reads	ENCFF716TEV	/files/ENCFF716TEV/@@download/ENCFF716TEV.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RBM47_plus_strand_signal_of_all_reads	ENCFF036ACX	/files/ENCFF036ACX/@@download/ENCFF036ACX.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_HNRNPUL1_plus_strand_signal_of_all_reads	ENCFF758UOK	/files/ENCFF758UOK/@@download/ENCFF758UOK.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_FASTKD2_plus_strand_signal_of_all_reads	ENCFF166ZJI	/files/ENCFF166ZJI/@@download/ENCFF166ZJI.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_GNB2L1_minus_strand_signal_of_all_reads	ENCFF942PZR	/files/ENCFF942PZR/@@download/ENCFF942PZR.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RPS2_minus_strand_signal_of_all_reads	ENCFF004DMN	/files/ENCFF004DMN/@@download/ENCFF004DMN.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PA2G4_plus_strand_signal_of_all_reads	ENCFF794OWP	/files/ENCFF794OWP/@@download/ENCFF794OWP.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SND1_plus_strand_signal_of_all_reads	ENCFF161JFV	/files/ENCFF161JFV/@@download/ENCFF161JFV.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_EIF3G_minus_strand_signal_of_all_reads	ENCFF433AUN	/files/ENCFF433AUN/@@download/ENCFF433AUN.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_CEBPZ_minus_strand_signal_of_all_reads	ENCFF601GRW	/files/ENCFF601GRW/@@download/ENCFF601GRW.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_LARP4_plus_strand_signal_of_all_reads	ENCFF337YCS	/files/ENCFF337YCS/@@download/ENCFF337YCS.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DDX3X_minus_strand_signal_of_all_reads	ENCFF128LSY	/files/ENCFF128LSY/@@download/ENCFF128LSY.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_CCAR1_minus_strand_signal_of_all_reads	ENCFF815JNC	/files/ENCFF815JNC/@@download/ENCFF815JNC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RBM25_plus_strand_signal_of_all_reads	ENCFF596TQE	/files/ENCFF596TQE/@@download/ENCFF596TQE.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_ETF1_minus_strand_signal_of_all_reads	ENCFF167ZLI	/files/ENCFF167ZLI/@@download/ENCFF167ZLI.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RPLP0_plus_strand_signal_of_all_reads	ENCFF650MHG	/files/ENCFF650MHG/@@download/ENCFF650MHG.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_EIF3D_plus_strand_signal_of_all_reads	ENCFF105DJK	/files/ENCFF105DJK/@@download/ENCFF105DJK.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RBM47_minus_strand_signal_of_all_reads	ENCFF509XMA	/files/ENCFF509XMA/@@download/ENCFF509XMA.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_CSTF2T_minus_strand_signal_of_all_reads	ENCFF010KML	/files/ENCFF010KML/@@download/ENCFF010KML.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_MAGOH_minus_strand_signal_of_all_reads	ENCFF686SGV	/files/ENCFF686SGV/@@download/ENCFF686SGV.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_IGF2BP3_minus_strand_signal_of_all_reads	ENCFF135QDS	/files/ENCFF135QDS/@@download/ENCFF135QDS.bigWig
