Biosample Index	Biosample	Biosample summary	Assay	Accession	Download URL
J004	K562	K562	CAGE_minus_strand_signal_of_all_reads	ENCFF602FWY	/files/ENCFF602FWY/@@download/ENCFF602FWY.bigWig
J004	K562	K562	ChIP-seq_TBP_signal_p-value	ENCFF098FKU	/files/ENCFF098FKU/@@download/ENCFF098FKU.bigWig
J004	K562	K562	ChIP-seq_H3K27me3_signal_p-value	ENCFF470HOG	/files/ENCFF470HOG/@@download/ENCFF470HOG.bigWig
J004	K562	K562	ChIP-seq_H3K4me1_signal_p-value	ENCFF783QIW	/files/ENCFF783QIW/@@download/ENCFF783QIW.bigWig
J004	K562	K562	ChIP-seq_MAFK_signal_p-value	ENCFF961BEV	/files/ENCFF961BEV/@@download/ENCFF961BEV.bigWig
J004	K562	K562	ChIP-seq_USF2_signal_p-value	ENCFF881FKP	/files/ENCFF881FKP/@@download/ENCFF881FKP.bigWig
J004	K562	K562	ChIP-seq_GTF2F1_signal_p-value	ENCFF560EAV	/files/ENCFF560EAV/@@download/ENCFF560EAV.bigWig
J004	K562	K562	ChIP-seq_TAF1_signal_p-value	ENCFF101GBL	/files/ENCFF101GBL/@@download/ENCFF101GBL.bigWig
J004	K562	K562	ChIP-seq_BHLHE40_signal_p-value	ENCFF316PXK	/files/ENCFF316PXK/@@download/ENCFF316PXK.bigWig
J004	K562	K562	ChIP-seq_HDAC2_signal_p-value	ENCFF610LSY	/files/ENCFF610LSY/@@download/ENCFF610LSY.bigWig
J004	K562	K562	CAGE_plus_strand_signal_of_all_reads	ENCFF213LMH	/files/ENCFF213LMH/@@download/ENCFF213LMH.bigWig
J004	K562	K562	total_RNA-seq_plus_strand_signal_of_all_reads	ENCFF423ORH	/files/ENCFF423ORH/@@download/ENCFF423ORH.bigWig
J004	K562	K562	ChIP-seq_ZBTB33_signal_p-value	ENCFF963MJM	/files/ENCFF963MJM/@@download/ENCFF963MJM.bigWig
J004	K562	K562	DNase-seq_read-depth_normalized_signal	ENCFF009SCD	/files/ENCFF009SCD/@@download/ENCFF009SCD.bigWig
J004	K562	K562	ChIP-seq_RFX5_signal_p-value	ENCFF573KBS	/files/ENCFF573KBS/@@download/ENCFF573KBS.bigWig
J004	K562	K562	ChIP-seq_ELF1_signal_p-value	ENCFF401ULN	/files/ENCFF401ULN/@@download/ENCFF401ULN.bigWig
J004	K562	K562	ChIP-seq_H3K9ac_signal_p-value	ENCFF231CJD	/files/ENCFF231CJD/@@download/ENCFF231CJD.bigWig
J004	K562	K562	polyA_depleted_RNA-seq_minus_strand_signal_of_all_reads	ENCFF911FBX	/files/ENCFF911FBX/@@download/ENCFF911FBX.bigWig
J004	K562	K562	ChIP-seq_ZFP36_signal_p-value	ENCFF552LGZ	/files/ENCFF552LGZ/@@download/ENCFF552LGZ.bigWig
J004	K562	K562	ChIP-seq_USF1_signal_p-value	ENCFF210RNN	/files/ENCFF210RNN/@@download/ENCFF210RNN.bigWig
J004	K562	K562	ChIP-seq_H3K4me3_signal_p-value	ENCFF144MRB	/files/ENCFF144MRB/@@download/ENCFF144MRB.bigWig
J004	K562	K562	ChIP-seq_FOXA1_signal_p-value	ENCFF966HWQ	/files/ENCFF966HWQ/@@download/ENCFF966HWQ.bigWig
J004	K562	K562	polyA_RNA-seq_plus_strand_signal_of_all_reads	ENCFF735QAT	/files/ENCFF735QAT/@@download/ENCFF735QAT.bigWig
J004	K562	K562	ChIP-seq_SIN3A_signal_p-value	ENCFF665IPD	/files/ENCFF665IPD/@@download/ENCFF665IPD.bigWig
J004	K562	K562	polyA_RNA-seq_minus_strand_signal_of_all_reads	ENCFF527XOE	/files/ENCFF527XOE/@@download/ENCFF527XOE.bigWig
J004	K562	K562	ChIP-seq_H2AFZ_signal_p-value	ENCFF825TEU	/files/ENCFF825TEU/@@download/ENCFF825TEU.bigWig
J004	K562	K562	ChIP-seq_EP300_signal_p-value	ENCFF363QJI	/files/ENCFF363QJI/@@download/ENCFF363QJI.bigWig
J004	K562	K562	ChIP-seq_H3K36me3_signal_p-value	ENCFF215NKF	/files/ENCFF215NKF/@@download/ENCFF215NKF.bigWig
J004	K562	K562	ChIP-seq_FOXK2_signal_p-value	ENCFF052XNM	/files/ENCFF052XNM/@@download/ENCFF052XNM.bigWig
J004	K562	K562	RAMPAGE_minus_strand_signal_of_all_reads	ENCFF669JOT	/files/ENCFF669JOT/@@download/ENCFF669JOT.bigWig
J004	K562	K562	ChIP-seq_H3K79me2_signal_p-value	ENCFF477LXF	/files/ENCFF477LXF/@@download/ENCFF477LXF.bigWig
J004	K562	K562	total_RNA-seq_minus_strand_signal_of_all_reads	ENCFF473WHZ	/files/ENCFF473WHZ/@@download/ENCFF473WHZ.bigWig
J004	K562	K562	ChIP-seq_ELK1_signal_p-value	ENCFF159XBB	/files/ENCFF159XBB/@@download/ENCFF159XBB.bigWig
J004	K562	K562	ChIP-seq_ATF3_signal_p-value	ENCFF507KDS	/files/ENCFF507KDS/@@download/ENCFF507KDS.bigWig
J004	K562	K562	small_RNA-seq_plus_strand_signal_of_all_reads	ENCFF949FLW	/files/ENCFF949FLW/@@download/ENCFF949FLW.bigWig
J004	K562	K562	ChIP-seq_KDM1A_signal_p-value	ENCFF318KHB	/files/ENCFF318KHB/@@download/ENCFF318KHB.bigWig
J004	K562	K562	ChIP-seq_RCOR1_signal_p-value	ENCFF781QSL	/files/ENCFF781QSL/@@download/ENCFF781QSL.bigWig
J004	K562	K562	RAMPAGE_plus_strand_signal_of_all_reads	ENCFF058ICP	/files/ENCFF058ICP/@@download/ENCFF058ICP.bigWig
J004	K562	K562	ChIP-seq_REST_signal_p-value	ENCFF042IHV	/files/ENCFF042IHV/@@download/ENCFF042IHV.bigWig
J004	K562	K562	ChIP-seq_ETS1_signal_p-value	ENCFF151QKU	/files/ENCFF151QKU/@@download/ENCFF151QKU.bigWig
J004	K562	K562	ChIP-seq_H3K27ac_signal_p-value	ENCFF094XCU	/files/ENCFF094XCU/@@download/ENCFF094XCU.bigWig
J004	K562	K562	ChIP-seq_POLR2A_signal_p-value	ENCFF042CRO	/files/ENCFF042CRO/@@download/ENCFF042CRO.bigWig
J004	K562	K562	ChIP-seq_POLR2AphosphoS5_signal_p-value	ENCFF866NHX	/files/ENCFF866NHX/@@download/ENCFF866NHX.bigWig
J004	K562	K562	ChIP-seq_YY1_signal_p-value	ENCFF230VJT	/files/ENCFF230VJT/@@download/ENCFF230VJT.bigWig
J004	K562	K562	ChIP-seq_CTCF_signal_p-value	ENCFF322EGW	/files/ENCFF322EGW/@@download/ENCFF322EGW.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	polyA_RNA-seq_minus_strand_signal_of_all_reads	ENCFF819VCB	/files/ENCFF819VCB/@@download/ENCFF819VCB.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	CAGE_plus_strand_signal_of_all_reads	ENCFF640GYS	/files/ENCFF640GYS/@@download/ENCFF640GYS.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	ChIP-seq_H3K36me3_signal_p-value	ENCFF987AFA	/files/ENCFF987AFA/@@download/ENCFF987AFA.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	ChIP-seq_CTCF_signal_p-value	ENCFF392EBD	/files/ENCFF392EBD/@@download/ENCFF392EBD.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	polyA_depleted_RNA-seq_plus_strand_signal_of_all_reads	ENCFF571KKN	/files/ENCFF571KKN/@@download/ENCFF571KKN.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	ChIP-seq_H3K9ac_signal_p-value	ENCFF554PHA	/files/ENCFF554PHA/@@download/ENCFF554PHA.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	small_RNA-seq_minus_strand_signal_of_all_reads	ENCFF249GXI	/files/ENCFF249GXI/@@download/ENCFF249GXI.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	small_RNA-seq_plus_strand_signal_of_all_reads	ENCFF322CFR	/files/ENCFF322CFR/@@download/ENCFF322CFR.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	polyA_depleted_RNA-seq_minus_strand_signal_of_all_reads	ENCFF958NQK	/files/ENCFF958NQK/@@download/ENCFF958NQK.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	ChIP-seq_H3K4me2_signal_p-value	ENCFF288OHM	/files/ENCFF288OHM/@@download/ENCFF288OHM.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	polyA_RNA-seq_plus_strand_signal_of_all_reads	ENCFF903XZF	/files/ENCFF903XZF/@@download/ENCFF903XZF.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	CAGE_minus_strand_signal_of_all_reads	ENCFF056BNT	/files/ENCFF056BNT/@@download/ENCFF056BNT.bigWig
J006	B cell	B cell female adult (27 years) and female adult (43 years)	ChIP-seq_H2AFZ_signal_p-value	ENCFF747WPT	/files/ENCFF747WPT/@@download/ENCFF747WPT.bigWig
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq_H3K27me3_signal_p-value	ENCFF643ACG	/files/ENCFF643ACG/@@download/ENCFF643ACG.bigWig
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	polyA_RNA-seq_plus_strand_signal_of_all_reads	ENCFF735SOU	/files/ENCFF735SOU/@@download/ENCFF735SOU.bigWig
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	microRNA-seq_plus_strand_signal_of_all_reads	ENCFF200DBL	/files/ENCFF200DBL/@@download/ENCFF200DBL.bigWig
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq_H3K9me3_signal_p-value	ENCFF899NPW	/files/ENCFF899NPW/@@download/ENCFF899NPW.bigWig
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	polyA_RNA-seq_minus_strand_signal_of_all_reads	ENCFF125WRO	/files/ENCFF125WRO/@@download/ENCFF125WRO.bigWig
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq_H3K4me3_signal_p-value	ENCFF080RVX	/files/ENCFF080RVX/@@download/ENCFF080RVX.bigWig
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq_H3K27ac_signal_p-value	ENCFF336EXE	/files/ENCFF336EXE/@@download/ENCFF336EXE.bigWig
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq_H3K36me3_signal_p-value	ENCFF342HRQ	/files/ENCFF342HRQ/@@download/ENCFF342HRQ.bigWig
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	microRNA-seq_minus_strand_signal_of_all_reads	ENCFF418CYD	/files/ENCFF418CYD/@@download/ENCFF418CYD.bigWig
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq_H3K4me1_signal_p-value	ENCFF303BOR	/files/ENCFF303BOR/@@download/ENCFF303BOR.bigWig
J008	placenta	placenta embryo (16 weeks)	ChIP-seq_H3K36me3_signal_p-value	ENCFF499YFG	/files/ENCFF499YFG/@@download/ENCFF499YFG.bigWig
J008	placenta	placenta embryo (16 weeks)	ChIP-seq_H3K27me3_signal_p-value	ENCFF714BDC	/files/ENCFF714BDC/@@download/ENCFF714BDC.bigWig
J008	placenta	placenta embryo (16 weeks)	microRNA-seq_minus_strand_signal_of_all_reads	ENCFF114UNV	/files/ENCFF114UNV/@@download/ENCFF114UNV.bigWig
J008	placenta	placenta embryo (16 weeks)	ChIP-seq_H3K9me3_signal_p-value	ENCFF937IHO	/files/ENCFF937IHO/@@download/ENCFF937IHO.bigWig
J008	placenta	placenta embryo (16 weeks)	microRNA-seq_plus_strand_signal_of_all_reads	ENCFF589XHC	/files/ENCFF589XHC/@@download/ENCFF589XHC.bigWig
J008	placenta	placenta embryo (16 weeks)	ChIP-seq_H3K27ac_signal_p-value	ENCFF928RQF	/files/ENCFF928RQF/@@download/ENCFF928RQF.bigWig
J008	placenta	placenta embryo (16 weeks)	ChIP-seq_H3K4me3_signal_p-value	ENCFF670NRW	/files/ENCFF670NRW/@@download/ENCFF670NRW.bigWig
J008	placenta	placenta embryo (16 weeks)	ChIP-seq_H3K4me1_signal_p-value	ENCFF457ORY	/files/ENCFF457ORY/@@download/ENCFF457ORY.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H2AFZ_signal_p-value	ENCFF204PTY	/files/ENCFF204PTY/@@download/ENCFF204PTY.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_CTCF_signal_p-value	ENCFF147GRN	/files/ENCFF147GRN/@@download/ENCFF147GRN.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K18ac_signal_p-value	ENCFF002XQY	/files/ENCFF002XQY/@@download/ENCFF002XQY.bigWig
J010	H1-hESC	H1-hESC	polyA_RNA-seq_minus_strand_signal_of_all_reads	ENCFF340RSE	/files/ENCFF340RSE/@@download/ENCFF340RSE.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_KDM1A_signal_p-value	ENCFF297JUX	/files/ENCFF297JUX/@@download/ENCFF297JUX.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_RFX5_signal_p-value	ENCFF330UHX	/files/ENCFF330UHX/@@download/ENCFF330UHX.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K4me3_signal_p-value	ENCFF970FYV	/files/ENCFF970FYV/@@download/ENCFF970FYV.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_POLR2AphosphoS5_signal_p-value	ENCFF834EMW	/files/ENCFF834EMW/@@download/ENCFF834EMW.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_RXRA_signal_p-value	ENCFF801JGO	/files/ENCFF801JGO/@@download/ENCFF801JGO.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K27me3_signal_p-value	ENCFF578BZC	/files/ENCFF578BZC/@@download/ENCFF578BZC.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K36me3_signal_p-value	ENCFF173JVK	/files/ENCFF173JVK/@@download/ENCFF173JVK.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_RAD21_signal_p-value	ENCFF510RNH	/files/ENCFF510RNH/@@download/ENCFF510RNH.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K9ac_signal_p-value	ENCFF524KLA	/files/ENCFF524KLA/@@download/ENCFF524KLA.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_SIN3A_signal_p-value	ENCFF174DEX	/files/ENCFF174DEX/@@download/ENCFF174DEX.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K23ac_signal_p-value	ENCFF525YNS	/files/ENCFF525YNS/@@download/ENCFF525YNS.bigWig
J010	H1-hESC	H1-hESC	microRNA-seq_minus_strand_signal_of_all_reads	ENCFF464DXO	/files/ENCFF464DXO/@@download/ENCFF464DXO.bigWig
J010	H1-hESC	H1-hESC	polyA_RNA-seq_plus_strand_signal_of_all_reads	ENCFF904KHZ	/files/ENCFF904KHZ/@@download/ENCFF904KHZ.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H2BK15ac_signal_p-value	ENCFF344DLU	/files/ENCFF344DLU/@@download/ENCFF344DLU.bigWig
J010	H1-hESC	H1-hESC	CAGE_plus_strand_signal_of_all_reads	ENCFF262MVL	/files/ENCFF262MVL/@@download/ENCFF262MVL.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K79me2_signal_p-value	ENCFF426EBN	/files/ENCFF426EBN/@@download/ENCFF426EBN.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K9me3_signal_p-value	ENCFF489EXJ	/files/ENCFF489EXJ/@@download/ENCFF489EXJ.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H2BK120ac_signal_p-value	ENCFF743BTT	/files/ENCFF743BTT/@@download/ENCFF743BTT.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H2BK12ac_signal_p-value	ENCFF724QZZ	/files/ENCFF724QZZ/@@download/ENCFF724QZZ.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_USF2_signal_p-value	ENCFF413HYI	/files/ENCFF413HYI/@@download/ENCFF413HYI.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_TCF12_signal_p-value	ENCFF594EPA	/files/ENCFF594EPA/@@download/ENCFF594EPA.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_EGR1_signal_p-value	ENCFF559URO	/files/ENCFF559URO/@@download/ENCFF559URO.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K4ac_signal_p-value	ENCFF183DXB	/files/ENCFF183DXB/@@download/ENCFF183DXB.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_SP1_signal_p-value	ENCFF703VUT	/files/ENCFF703VUT/@@download/ENCFF703VUT.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K4me1_signal_p-value	ENCFF644FXV	/files/ENCFF644FXV/@@download/ENCFF644FXV.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H2AK5ac_signal_p-value	ENCFF195GFI	/files/ENCFF195GFI/@@download/ENCFF195GFI.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H4K91ac_signal_p-value	ENCFF063HYF	/files/ENCFF063HYF/@@download/ENCFF063HYF.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_H3K4me2_signal_p-value	ENCFF864LXW	/files/ENCFF864LXW/@@download/ENCFF864LXW.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_YY1_signal_p-value	ENCFF371JOS	/files/ENCFF371JOS/@@download/ENCFF371JOS.bigWig
J010	H1-hESC	H1-hESC	microRNA-seq_plus_strand_signal_of_all_reads	ENCFF673JIV	/files/ENCFF673JIV/@@download/ENCFF673JIV.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_TBP_signal_p-value	ENCFF124WHQ	/files/ENCFF124WHQ/@@download/ENCFF124WHQ.bigWig
J010	H1-hESC	H1-hESC	ChIP-seq_MAX_signal_p-value	ENCFF187CML	/files/ENCFF187CML/@@download/ENCFF187CML.bigWig
J010	H1-hESC	H1-hESC	small_RNA-seq_plus_strand_signal_of_all_reads	ENCFF822MWQ	/files/ENCFF822MWQ/@@download/ENCFF822MWQ.bigWig
J010	H1-hESC	H1-hESC	total_RNA-seq_minus_strand_signal_of_all_reads	ENCFF304EHG	/files/ENCFF304EHG/@@download/ENCFF304EHG.bigWig
J010	H1-hESC	H1-hESC	polyA_depleted_RNA-seq_minus_strand_signal_of_all_reads	ENCFF353UDC	/files/ENCFF353UDC/@@download/ENCFF353UDC.bigWig
